,Product,Price,Link
0,M30 Rechargeable 2.4GHz Wireless Mouse - Silver,GH₵ 28.00,https://www.jumia.com.gh/generic-m30-rechargeable-2.4ghz-wireless-mouse-silver-20914264.html
1,Soft Touch Wireless Keyboard & Mouse Combo - Black + Free BT Headphone,GH₵ 80.00,https://www.jumia.com.gh/soft-touch-wireless-keyboard-mouse-combo-black-free-bt-headphone-generic-mpg456288.html
2,ammoon Dual Channel VHF Wireless Handheld Microphone System,GH₵ 175.00,https://www.jumia.com.gh/generic-ammoon-dual-channel-vhf-wireless-handheld-microphone-system-20914761.html
3,Black Mouse Mat Pad 24*20*0.15cm Antislip,GH₵ 9.90,https://www.jumia.com.gh/generic-black-mouse-mat-pad-24200.15cm-antislip-30616711.html
4,Wireless Keyboard with Mouse Combo - Black,GH₵ 54.60,https://www.jumia.com.gh/wireless-keyboard-with-mouse-combo-black-white-label-mpg437209.html
5,DELL Wireless Optical Mouse - Black Plus Free Earpiece And Battery,GH₵ 38.00,https://www.jumia.com.gh/dell-wireless-optical-mouse-black-plus-free-earpiece-and-battery-24107485.html
6,DELL Wireless Slim Optical Mouse - Black,GH₵ 22.56,https://www.jumia.com.gh/wireless-slim-optical-mouse-black-white-label-mpg438420.html
7,1080P HDMI Male To Dual HDMI Female 1 To 2 Way Splitter Cable Adapter Converter,GH₵ 36.00,https://www.jumia.com.gh/generic-1080p-hdmi-male-to-dual-hdmi-female-1-to-2-way-splitter-cable-adapter-converter-22746483.html
8,Mini AV2VGA Video Converter Convertor Box AV RCA CVBS to VGA,GH₵ 13.00,https://www.jumia.com.gh/generic-mini-av2vga-video-converter-convertor-box-av-rca-cvbs-to-vga-31314515.html
9,Wireless Keyboard & Mouse Combo - Black + Free 64GB Pendrive,GH₵ 85.00,https://www.jumia.com.gh/white-label-wireless-keyboard-mouse-combo-black-free-64gb-pendrive-16478471.html
10,1080P HDMI To VGA Adapter Converter Cable,GH₵ 42.00,https://www.jumia.com.gh/generic-1080p-hdmi-to-vga-adapter-converter-cable-19237867.html
11,5-in-1 USB Hub Combo Splitter,GH₵ 20.00,https://www.jumia.com.gh/generic-5-in-1-usb-hub-combo-splitter-41086787.html
12,Wireless Keyboard & Mouse Combo + Free Wired Headphone - Black,GH₵ 62.98,https://www.jumia.com.gh/white-label-wireless-keyboard-mouse-combo-free-wired-headphone-black-17586033.html
13,Toshiba 3.0 USB External Hard Disk Enclosure Case - Black,GH₵ 42.30,https://www.jumia.com.gh/3.0-usb-external-hard-disk-enclosure-case-black-toshiba-mpg456310.html
14,UCOM Vibration USB Wired Gamepad - Black,GH₵ 38.50,https://www.jumia.com.gh/vibration-usb-wired-gamepad-black-ucom-mpg437913.html
15,KKmoon 2.4GHz Wireless PowerPoint Clicker Remote Controller,GH₵ 50.00,https://www.jumia.com.gh/generic-kkmoon-2.4ghz-wireless-powerpoint-clicker-remote-controller-6770353.html
16,USB3.0 To VGA Adapter USB to VGA External Video Card,GH₵ 11.00,https://www.jumia.com.gh/generic-usb3.0-to-vga-adapter-usb-to-vga-external-video-card-31320110.html
17,Mini Wireless Keyboard/Touchpad with Backlight - Black,GH₵ 55.00,https://www.jumia.com.gh/mini-wireless-keyboardtouchpad-with-backlight-black-white-label-mpg440924.html
18,Logitech Silent Wireless Mouse - Black + Free Mouse Pad,GH₵ 39.99,https://www.jumia.com.gh/silent-wireless-mouse-black-free-mouse-pad-logitech-mpg456301.html
19,VGA Virtual Display Adapter HDMI 1.4 DDC EDID Dummy Plug Display Emulator,GH₵ 22.00,https://www.jumia.com.gh/generic-vga-virtual-display-adapter-hdmi-1.4-ddc-edid-dummy-plug-display-emulator-31055647.html
20,Wired Gaming Mouse Gamer USB Computer Mice,GH₵ 25.00,https://www.jumia.com.gh/generic-wired-gaming-mouse-gamer-usb-computer-mice-31245529.html
21,Mini Wireless Bluetooth Keyboard - Android IOS Windows - 7 Inch,GH₵ 59.00,https://www.jumia.com.gh/generic-mini-wireless-bluetooth-keyboard-android-ios-windows-7-inch-21134289.html
22,Hp Wireless Keyboard and Mouse CS700 - Black,GH₵ 59.00,https://www.jumia.com.gh/wireless-keyboard-and-mouse-cs700-black-hp-mpg455952.html
23,"Wireless Mini Keyboard with Backlit, Remote Control and Touchpad Mouse - Black",GH₵ 75.20,https://www.jumia.com.gh/wireless-mini-keyboard-with-backlit-remote-control-and-touchpad-mouse-black-30020458.html
24,DELL MS111 Wired USB Mouse - Black,GH₵ 18.00,https://www.jumia.com.gh/ms111-wired-usb-mouse-black-dell-mpg437961.html
25,Gold Plated Mini HDMI Male to HDMI 19 Pin Female Adapter(Black),GH₵ 35.00,https://www.jumia.com.gh/generic-gold-plated-mini-hdmi-male-to-hdmi-19-pin-female-adapterblack-13719447.html
26,Mini Computer Speaker 3D Stereo Sound Surround For PC Laptop Notebook,GH₵ 62.00,https://www.jumia.com.gh/generic-mini-computer-speaker-3d-stereo-sound-surround-for-pc-laptop-notebook-24310858.html
27,Logitech MX ERGO Portable Anti-crash Wireless Mouse Storage Bag,GH₵ 49.00,https://www.jumia.com.gh/generic-logitech-mx-ergo-portable-anti-crash-wireless-mouse-storage-bag-15133456.html
28,USB 3.0 Adapter For Laptop OTG Memory SD Card Reader,GH₵ 23.00,https://www.jumia.com.gh/generic-usb-3.0-adapter-for-laptop-otg-memory-sd-card-reader-33128807.html
29,Mira Screen TC02 Type C to HD Video Cable USB C to HDTV Cable UHD 4K Mirroring,GH₵ 17.00,https://www.jumia.com.gh/mira-screen-tc02-type-c-to-hd-video-cable-usb-c-to-hdtv-cable-uhd-4k-mirroring-31320149.html
30,Lenovo M20 USB Optical Mouse - Black,GH₵ 14.00,https://www.jumia.com.gh/m20-usb-optical-mouse-black-lenovo-mpg7511.html
31,Foldable Wired Keyboard - Black,GH₵ 33.00,https://www.jumia.com.gh/white-label-foldable-wired-keyboard-black-16902114.html
32,USB 3.0 Adapter Converter Cable Easy Drive Line to SATA3 2.5/3.5 Hard Disk Read IPFS Adapter,GH₵ 59.00,https://www.jumia.com.gh/generic-usb-3.0-adapter-converter-cable-easy-drive-line-to-sata3-2.53.5-hard-disk-read-ipfs-adapter-33063861.html
33,Hp USB Keyboard + Free Wireless Mouse + Free Mouse Pad - Black,GH₵ 68.00,https://www.jumia.com.gh/usb-keyboard-free-wireless-mouse-free-mouse-pad-black-hp-mpg452839.html
34,Hp Wireless Mouse - Black,GH₵ 35.00,https://www.jumia.com.gh/durable-wireless-mouse-black-white-label-mpg432734.html
35,Universal Mouse Pad - Black,GH₵ 25.00,https://www.jumia.com.gh/universal-mouse-pad-black-white-label-mpg451401.html
36,3 in 1 HDMI Input 4K x 2K HDTV Pigtail Switch Adapter HDMI Splitter,GH₵ 59.00,https://www.jumia.com.gh/generic-3-in-1-hdmi-input-4k-x-2k-hdtv-pigtail-switch-adapter-hdmi-splitter-13719346.html
37,Logitech M280 Wireless Optical Mouse - Black,GH₵ 29.50,https://www.jumia.com.gh/m235-wireless-optical-mouse-black-logitech-mpg454583.html
38,UCOM Dualshock Gamepad - Black,GH₵ 29.00,https://www.jumia.com.gh/dualshock-gamepad-black-ucom-mpg2679.html
39,"Cartridge Refill Ink For Hp, Epson and Canon Inkjet Printers - 250ml - Black",GH₵ 45.00,https://www.jumia.com.gh/generic-cartridge-refill-ink-for-hp-epson-and-canon-inkjet-printers-250ml-black-30141158.html
40,Black Mouse Mat Pad 24*20*0.15cm Antislip,GH₵ 9.90,https://www.jumia.com.gh/generic-black-mouse-mat-pad-24200.15cm-antislip-30616711.html
41,Logitech Wireless Optical Mouse - Black/Grey + Free Earphones,GH₵ 73.00,https://www.jumia.com.gh/wireless-optical-mouse-blackgrey-free-earphones-logitech-mpg429996.html
42,"Cartridge Refill Ink For Hp, Epson and Canon Inkjet Printers - 4 x 250ml",GH₵ 160.00,https://www.jumia.com.gh/generic-cartridge-refill-ink-for-hp-epson-and-canon-inkjet-printers-4-x-250ml-30144371.html
43,"V1 gaming headset, available for PS4 and PC",GH₵ 148.00,https://www.jumia.com.gh/generic-v1-gaming-headset-available-for-ps4-and-pc-31304793.html
44,Mini Wireless Keyboard & Mouse - Black,GH₵ 57.00,https://www.jumia.com.gh/mini-wireless-keyboard-mouse-black-white-label-mpg15183.html
45,Mini Wireless Keyboard & Mouse - White,GH₵ 70.00,https://www.jumia.com.gh/white-label-mini-wireless-keyboard-mouse-white-18984028.html?seller_product=1
46,Keyboard & Mouse Combo - White,GH₵ 65.00,https://www.jumia.com.gh/generic-keyboard-mouse-combo-white-7274369.html?seller_product=1
47,USB 3.0 Adapter Converter Cable Easy Drive Line to SATA3 2.5/3.5 Hard Disk Read IPFS Adapter,GH₵ 59.00,https://www.jumia.com.gh/generic-usb-3.0-adapter-converter-cable-easy-drive-line-to-sata3-2.53.5-hard-disk-read-ipfs-adapter-33063861.html
